,COUNTRY,REGION,CATEGORY,MEASURE,COMMENTS,SOURCE,ENTRY_DATE,ISO_ALP_2
2506,Grenada,Americas,Governance and socio-economic measures,economic measures, Government has now made available an additional $2 million to bolster our COVID-19 preparedness actions,official government website,2020-03-25,GD
2507,Grenada,Americas,Governance and socio-economic measures,emergency administrative structures activated or established,"A COVID-19 Coordinator, in the person of Dr. George Mitchell, has been appointed to manage the activities of all stakeholders, as they relate to the disease.The Sanitary Authority has been activated under the Acting Chief Medical Officer and is responsible for directing and mandating all technical-related activities relevant to COVID-19.",official government website,2020-03-25,GD
2508,Grenada,Americas,Public health measures,strengthening the public health system,"Additional supplies of Personal Protective Equipment (PPE) are being purchased to ensure that persons on the frontline of the preventive effort are properly protected and their level of exposure is minimal. We have also obtained thousands of masks, some of which are being distributed to our students in China, and arrangements are being made to transport the remainder to Grenada.",official government website,2020-03-25,GD
2509,Grenada,Americas,Social distancing,Schools closure,Unknown,official government website,2020-03-25,GD
2510,Grenada,Americas,Public health measures,introduction of isolation and quarantine policies,"You will be quarantined for a period of 14 days upon arrival into Grenada, if you are a Grenadian National or Resident.",official government website,2020-03-25,GD
2511,Grenada,Americas,Movement restrictions,visa restrictions,"If you are NOT a Grenadian National, and in the last 14 days you have been to Iran, South Korea, China, or anywhere in Europe (including the UK), you will be refused entry into the country. If you are arriving from any other destination, you will be screened upon entry, and quarantined for 14 days.",official government website,2020-03-25,GD
2512,Grenada,Americas,Movement restrictions,Border closure," passengers will not be allowed to disembark from ANY cruise ship on the shores of Grenada, until further notice.",official government website,2020-03-25,GD
2513,Grenada,Americas,Social distancing,limit public gatherings,"All youth development, cultural, and sporting activities postponed due to the threat of COVID-19 Virus",official government website,2020-03-25,GD
2514,Grenada,Americas,Public health measures,general recommendations,"he Ministry of Health, Government of Grenada, is requesting that the general population considers suspending, with immediate effect, all public and other social gatherings, such as cultural, religious and sporting events, cinemas and other places that cannot guarantee a minimum of six (6) feet of social distancing. avoid public transportation",official government website,2020-03-25,GD
2515,Grenada,Americas,Social distancing,Public services closure,CLOSURE OF CONSTITUENCY OFFICES,official government website,2020-03-25,GD
2516,Grenada,Americas,Movement restrictions,visa restrictions,"the Government of Grenada announces that effective 11:59 p.m. Monday March 23 2020, no crew member of commercial vessels will be allowed or granted ?Shore Leave.?",official government website,2020-03-25,GD
2517,Grenada,Americas,Governance and socio-economic measures,economic measures,"The Government of Grenada, COVID-19 Economic Support Secretariat, (CESS) has officially been established to implement the Economic Stimulus packag",official government website,2020-03-25,GD
2518,Grenada,Americas,Public health measures,health screenings in airports and border crossings,"before disembarking, every passenger is required to complete a declaration form on his/her health status. You are also required to check in daily with the Ministry of Health, regardless of your point of origin. Additionally, you will be quarantined or isolated, if you become symptomatic during your stay.",official government website,2020-03-25,GD
2519,Grenada,Americas,Social distancing,Public services closure," Criminal Courts have agreed to adjourn ongoing criminal trials until further notice, and discharge the jury on those matters",official government website,2020-03-25,GD
2520,Canada,Americas,Governance and socio-economic measures,economic measures,Government requests recall of the House of Commons to help workers and businesses during COVID-19 crisis,prime minister of canada,2020-03-26,CA
2521,Canada,Americas,Public health measures,strengthening the public health system, Canada?s Plan to Mobilize Industry: support these businesses to rapidly scale up production or re-tool their manufacturing lines to develop products made in Canada that will help in the fight against COVID-19.,prime minister of canada,2020-03-26,CA
2522,Canada,Americas,Movement restrictions,Border closure,Prime Minister announces temporary border agreement with the United States,prime minister of canada,2020-03-26,CA
2523,Canada,Americas,Governance and socio-economic measures,economic measures,dity needs of Canadian businesses and households through tax deferrals to help stabilize the economy.,prime minister of canada,2020-03-26,CA
2524,Canada,Americas,Public health measures,introduction of isolation and quarantine policies,"anyone returning from Wuhan, China placed in isolation",government of canada,2020-03-26,CA
2525,Canada,Americas,Public health measures,awareness campaigns,"messaging on arrival screens at the Toronto, Montral and Vancouver international airports reminding travellers to inform a Border Services Officer if they are experiencing flu-like symptoms, and an additional health screening question on electronic kiosks used by international travellers.",government of canada,2020-03-26,CA
2526,Canada,Americas,Public health measures,general recommendations,"avoid non-essential travel to the province of Hubei, China, including the cities of Wuhan, Huanggang and Ezhou",government of canada,2020-03-26,CA
2527,Canada,Americas,Governance and socio-economic measures,emergency administrative structures activated or established,Prime Minister Justin Trudeau convened the Incident Response Group,prime minister of canada,2020-03-26,CA
2528,Canada,Americas,Governance and socio-economic measures,emergency administrative structures activated or established,Prime Minister creates committee on COVID-19,prime minister of canada,2020-03-26,CA
2529,Canada,Americas,Governance and socio-economic measures,economic measures,$1 billion COVID-19 Response Fund,prime minister of canada,2020-03-26,CA
2530,Canada,Americas,Public health measures,awareness campaigns," First Ministers held a call to discuss the evolving coronavirus (COVID-19) pandemic and the measures taken by federal, provincial and territorial governments to limit the spread of the virus in Canada. ?First Ministers agreed on the importance of maintaining close collaboration and alignment on the response to combat the COVID-19 outbreak for the health and well-being of all Canadians.?",prime minister of canada,2020-03-26,CA
2531,Canada,Americas,Public health measures,strengthening the public health system," announced support to quickly mobilize Canadian researchers and life sciences companies to support large-scale efforts towards countermeasures to combat COVID-19, including potential vaccines and treatments.

This $275 million for coronavirus research and medical countermeasures is part of the Government of Canada?s more than $1 billion COVID-19 Response Fund. The funding will be used to advance projects that are already underway by university researchers and others to respond to COVID-19, and ensure domestic supply of potential vaccines.",prime minister of canada,2020-03-26,CA
2532,Canada,Americas,Public health measures,introduction of isolation and quarantine policies,"All travellers to Canada self-isolate for 14 days upon entry, with exceptions for workers who are essential to the movement of goods and people.",prime minister of canada,2020-03-26,CA
2533,Canada,Americas,Public health measures,general recommendations,"All Canadians avoid non-essential travel outside the country until further notice.
Canadian travellers return to Canada via commercial means while they remain available.",prime minister of canada,2020-03-26,CA
2534,Canada,Americas,Movement restrictions,international flights suspension,"Bar foreign nationals from all countries except the United States from entering Canada. The measure would not apply in designated exceptional circumstances, including to air crews, travellers arriving in Canada in transit to a third country, Canadian permanent residents, diplomats, or immediate family members of Canadian citizens.",prime minister of canada,2020-03-26,CA
2535,Canada,Americas,Governance and socio-economic measures,economic measures,COVID-19 Emergency Loan Program for Canadians Abroad. The Program will provide the option of an emergency loan to Canadians in need of immediate financial assistance to help them return home or to temporarily cover their life-sustaining needs while they work toward their return.,prime minister of canada,2020-03-26,CA
2536,United States of America,Americas,Public health measures,strengthening the public health system,Steps Healthcare Facilities Can Take Now to Prepare for Coronavirus Disease 2019 (COVID-19),cdc,2020-03-26,US
2537,Burundi,Africa,Public health measures,general recommendations,Hygiene recommendations and call for all public institution to ensure they have handwashing soap available for the public.,government ? burundi,2020-03-26,BI
2538,Burundi,Africa,Movement restrictions,international flights suspension,"All international commercial flights departing or arriving from the Melchior Ndadaye International Airport would be suspended for seven days.  Only cargo, medical evacuation, humanitarian, and diplomatic flights are exempt.",us embassy,2020-03-26,BI
2539,Burundi,Africa,Movement restrictions,visa restrictions,All visa application are suspended until further notice.,ministry of foreign affairs ? france,2020-03-26,BI
2540,Cameroon,Africa,Public health measures,strengthening the public health system,Call for volunteers for nurses and doctors.,government ? cameroon,2020-03-26,CM
2541,Chile,Americas,Governance and socio-economic measures,state of emergency declared,90-day ?National State of Catastrophe?,foreign ministry ? uk,2020-03-26,CL
2542,Chile,Americas,Movement restrictions,curfews, Nationwide curfew between the hours of 2200 and 0500 until further notice.,foreign ministry ? uk,2020-03-26,CL
2543,Chile,Americas,Public health measures,introduction of isolation and quarantine policies,"Quarantine around the town of Puerto Williams, ?sanitary cordon? around the town of Chillan and San Pedro de la Paz, tightening of sanitary regulations for the whole of Chiloe Island and quarantine around Easter Island",foreign ministry ? uk,2020-03-26,CL
2544,Chile,Americas,Public health measures,introduction of isolation and quarantine policies,People aged 80+ should remain at home under quarantine.,government ? chile,2020-03-26,CL
2545,Chile,Americas,Social distancing,Schools closure,"All pre-schools and schools, until 30th of March.",government ? chile,2020-03-26,CL
2546,Chile,Americas,Social distancing,limit public gatherings,Public gathering of more than 50 people are prohibited. ,government ? chile,2020-03-26,CL
2547,Chile,Americas,Social distancing,limit public gatherings,"Bars, restaurants, clubs, cinema, theatres and cultural centres are closed. ",government ? chile,2020-03-26,CL
2548,Chile,Americas,Social distancing,limit public gatherings,"All sport, cultural and professional events are cancelled.",government ? chile,2020-03-26,CL
2549,Chile,Americas,Movement restrictions,domestic travel restrictions,Chileans must not travel to any secondary home they may have.,government ? chile,2020-03-26,CL
2550,Colombia,Americas,Lockdown,partial lockdown,National forced quarantine and confinment until 12th of april.,government ? colombia,2020-03-26,CO
2551,Colombia,Americas,Movement restrictions,domestic travel restrictions,"All domestic flight, as well as inter-provincial and municipal public transports are suspended. Urban public transport limited to 20% of full capacity.",government ? colombia,2020-03-26,CO
2552,Malaysia,Asia,Lockdown,full lockdown,"Enhanced MCO: Residents of two areas will not be able to leave their homes for 2weeks when the govt implements an enhanced movement control (MCO) order from 12.01am Friday (March 27). The enhanced order involves 3,570 locals from 650 families and will take effect from March 27 to April 9.",the star,2020-03-26,MY
2553,Malaysia,Asia,Movement restrictions,surveillance and monitoring,"""This will enable the tracking operation of cases from house to house for 14 days, ? in Kluang. A medical base would be opened there while all roads to the areas would be closed.",the star,2020-03-26,MY
2554,Malaysia,Asia,Public health measures,awareness campaigns,The Transport Ministry has created a special website to provide the latest information on the agencies that come under its jurisdiction.,the star,2020-03-26,MY
2555,Malaysia,Asia,Lockdown,partial lockdown,"On Wednesday (March 25), Prime Minister Tan Sri Muhyiddin Yassin announced that the MCO would be extended by two weeks until April 14 . The first phase of the 14-day MCO is in force from March 18 to 31.",the star,2020-03-26,MY
2556,Malaysia,Asia,Movement restrictions,curfews,A jobless man was sentenced to 9 months' jail for slapping a guard at a supermarket which was closed during the movement control order (MCO) period on March 25.,the star,2020-03-26,MY
2557,Malaysia,Asia,Movement restrictions,domestic travel restrictions,"A total of 1,566 vehicles were ordered to turn back at roadblocks set up at entry points into Pahang to enforce the movement control order (MCO) on Tuesday. Pahang police chief said police and the army had set up 24-hour roadblocks at 94 locations in all 11 Pahang districts. ""It involved 803 police and army personnel. Up to 6,582 vehicles were inspected and 1,566 told to turn back. ",the star,2020-03-26,MY
2558,Malaysia,Asia,Movement restrictions,domestic travel restrictions,"Authorities also conducted 10-minute snapchecks at an additional 122 locations involving some 664 personnel. ""Unfortunately, there are still people who are really stubborn. We had to take them back to the police stations to record their statements and then release them on bail.",the star,2020-03-26,MY
2559,Malaysia,Asia,Public health measures,strengthening the public health system,"The US has lifted a ban on a Malaysian medical glove maker it had accused of using forced labour, a government statement showed, amid a surge in demand for personal protective equipment to fight the coronavirus crisis.",the star,2020-03-26,MY
2560,Malaysia,Asia,Movement restrictions,curfews,Sarawakians must remain indoors from 7pm to 7am until March 31 (updated),the star,2020-03-26,MY
2561,Malaysia,Asia,Public health measures,strengthening the public health system,"The Sarawak Disaster Management Committee has opened a new respiratory clinic to treat non-Covid-19 cases and ease congestion in government hospitals. He said it was different from the Covid-19 screening facility at the Youth and Sports Complex. ""We want to separate the cases and prevent the virus from spreading,""",the star,2020-03-26,MY
2562,Malaysia,Asia,Governance and socio-economic measures,economic measures,"The public can now donate to the Health Ministry in the battle against Covid-19, which has caused disruptions worldwide. The Ministry has appealed to the public to donate to the fund, which will be used for the purchase of medical equipment, medicines, reagents, disposable items, and other medical necessities. Donations can be channelled to the Ministry?s specially created medical contribution account at 2-66016-0002347-5 (RHB).",the star,2020-03-26,MY
2563,Malaysia,Asia,Governance and socio-economic measures,economic measures,"On Feb 20, former prime minister Tun Dr Mahathir Mohamad announced a RM20bil stimulus package in light of the economic impact of Covid-19 coronavirus.",the star,2020-03-26,MY
2564,Malaysia,Asia,Governance and socio-economic measures,economic measures, The Prime Minister has announced Malaysians below the age of 55 will be allowed to withdraw RM500 per month from their Employees Provident Fund (EPF) saving for 12 months to ease their financial burdens caused by Covid-19.,the star,2020-03-26,MY
2565,Malaysia,Asia,Governance and socio-economic measures,economic measures,Malaysia PM announced RM630mil more in allocations to help combat the disease ? RM500mil to the Health Ministry and RM130mil to state governments.,the star,2020-03-26,MY
2566,Marshall Islands,Pacific,Movement restrictions,international flights suspension,The only international airline to service the Marshall Islands has suspended flights for at least three weeks after an incident associated with their COVID-19 coronavirus restrictions.,rnz,2020-03-26,MH
2567,Marshall Islands,Pacific,Movement restrictions,Border closure,Marshalls enforces entry ban on grounded United Airlines passengers,rnz,2020-03-26,MH
2568,Nepal,Asia,Movement restrictions,visa restrictions,Temporary shutdown of visa services March 22 - April 3. Extended to April 7,nepal immigration,2020-03-26,NP
2569,Nepal,Asia,Lockdown,full lockdown,"the Nepal government decided to lockdown the whole country from 24 March at 6AM for one week till 31 March 6AM. This would be a much stricter stay-at-home order that would bring all movement to a halt and also close all government offices, businesses and shops. ",nepali times,2020-03-26,NP
2570,Nepal,Asia,Public health measures,health screenings in airports and border crossings,hundreds of Nepalis who were prevented from crossing the border into Nepal on Monday were finally allowed in after a temperature test. ,nepali times,2020-03-26,NP
2571,Nepal,Asia,Governance and socio-economic measures,limit product imports/exports,"Nepal?s demand for electricity has decreased dramatically since the country went into lockdown on 24 March in response to the COVID-19 pandemic. The Nepal Electricity Authority said that power consumption has fallen significantly following the shutdown of factories, hotels, and businesses. NEA has therefore stopped electricity imports from India. ",nepali times,2020-03-26,NP
2572,Nepal,Asia,Movement restrictions,domestic travel restrictions,"Under lockdown (Mar 24 - April 3), all remaining domestic flights and public transport have been stopped, and people barred from moving about unless it is for medical reasons or to buy essentials.",nepali times,2020-03-26,NP
2573,Nepal,Asia,Social distancing,Public services closure,"Under lockdown (Mar 24 - April 3), all government offices, businesses and shops closed ",nepali times,2020-03-26,NP
2574,Nicaragua,Americas,Public health measures,general recommendations,"Despite the demand for information about the hospitals and the resources available to deal with the coronavirus pandemic, S enz said that citizens must go to any of the 19 regional hospitals in the country and assured that the Minsa has ?enough mechanical ventilators in hospitals? without giving an exact figure",today nicaragua,2020-03-26,NI
2575,Papua New Guinea,Pacific,Movement restrictions,surveillance and monitoring,every person that has returned into the country since 6th of March is being kept under surveillance.,rnz,2020-03-26,PG
2576,Papua New Guinea,Pacific,Public health measures,awareness campaigns,"the Covid-19 National Operation Centre is closely monitoring the situation around the country with its call centre so many calls (700) the Rapid Response Unit had reverted to fielding the public's queries and reports through text messaging, for which telecommunications companies were providing support",rnz,2020-03-26,PG
2577,Samoa,Pacific,Lockdown,partial lockdown,Samoa under 2 week lockdown -effective midnight Mar 25 - April 8,rnz,2020-03-26,WS
2578,Samoa,Pacific,Social distancing,limit public gatherings,"Under lockdown, public gatherings restricted to no more than five people",rnz,2020-03-26,WS
2579,Samoa,Pacific,Movement restrictions,domestic travel restrictions,"under the new lockdown requirements, inter-island passenger travel will be halted from midnight with ferries then only carrying goods and essential services staff.",rnz,2020-03-26,WS
2580,Samoa,Pacific,Movement restrictions,Border closure,all fishing boats had now been banned from coming to Samoa effectively closing ports to all vessels except cargo ships bringing goods and petrol.,rnz,2020-03-26,WS
2581,Samoa,Pacific,Public health measures,health screenings in airports and border crossings,Vessels bringing fuel and freight into Samoa were still allowed but new security measures apply.,rnz,2020-03-26,WS
2582,Solomon Islands,Pacific,Governance and socio-economic measures,state of emergency declared,"""In accordance with section 16.2 of the Consittion I hearby proclaim and declare that a State of Public Emergency now exists in Solomon Island."" Mr Muria said according to the Constitution, the State of Public Emergency, would last for two weeks, within which time parliament must be reconvened to extend it. More details of what restrictions would be put in place as a result of the declaration were still to be announced by the Prime Minister Manasseh Sogavare.",rnz,2020-03-26,SB
2583,Tonga,Pacific,Lockdown,partial lockdown,"Tonga's Prime Minister Pohiva Tu'i'onetoa has declared a national lockdown for one week starting this Sunday 29 March at 1am and ending Sunday 5 April. The lock-down requires everyone to stay at home. The exception to the isolation order includes purchasing or supplying essential consumer goods, obtaining medical supplies or seeking medical assistance, access to banking and other financial services and attending work as a member of an essential service provider.",rnz,2020-03-26,TO
2584,Tonga,Pacific,Movement restrictions,curfews,"Under the lockdown, night-time curfews will be in place from 8pm to 6am and will be enforced by the Police, the Armed Forces and other authorised officers.",rnz,2020-03-26,TO
2585,Tonga,Pacific,Social distancing,Public services closure,"Under the lockdown, all licensed bars, restaurants, night clubs, bottle stores and liquor manufacturers are to close.",rnz,2020-03-26,TO
2586,Tonga,Pacific,Social distancing,limit public gatherings,There will be a ban of all large gatherings at public facilities and funeral gatherings are to be restricted to a total of 10 people indoors and 20 people outdoors with an authorised officer present.,rnz,2020-03-26,TO
2587,Tonga,Pacific,Social distancing,Schools closure,Education Minister Siaosi Sovaleni said schools would close from 1pm Friday and remain so until 14 April.,rnz,2020-03-26,TO
2588,Tonga,Pacific,Governance and socio-economic measures,economic measures,"Bbusinesses had no valid reason to increase their prices and profit unnessarily from shortages, an increase in demand due to disasters or unforeseen circumstances such as pandemic preparations. The Ministry said it would be keeping a close eye on businesses across Tonga, including the Niuas, ensuring no price gouging was occuring. Businesses risk potentially having their licence revoked, according to the Ministry.",rnz,2020-03-26,TO
2589,United States of America,Americas,Public health measures,strengthening the public health system," 17.8 tons of personal protection equipment and medical supplies were delivered,",Dept of State,2020-03-26,US
2590,United States of America,Americas,Governance and socio-economic measures,emergency administrative structures activated or established,Pence Announces Ambassador Debbie Birx to Serve as the White House Coronavirus Response Coordinator,white house,2020-03-26,US
2591,United States of America,Americas,Governance and socio-economic measures,economic measures,commitment of $37 million in financing from the Emergency Reserve Fund for Contagious Infectious Diseases at the U.S. Agency for International Development (USAID) for 25 countries affected by novel coronavirus COVID-19 or at high risk of its spread.,usaid,2020-03-26,US
2592,Vanuatu,Pacific,Governance and socio-economic measures,state of emergency declared,Vanuatu declares State of Emergency over Covid-19,rnz,2020-03-26,VU
2593,Vanuatu,Pacific,Public health measures,awareness campaigns,Govt confirms the right information comes from the health authority or from the NDMO,rnz,2020-03-26,VU
2594,Tuvalu,Pacific,Governance and socio-economic measures,state of emergency declared,The Acting Governor General in Tuvalu declared a State of Emergency for the atolls in light of the Covid-19 pandemic.,rnz,2020-03-26,TV
2595,Kiribati,Pacific,Public health measures,health screenings in airports and border crossings,All incoming international travelers will be subjected to temperature check upon arrival to the international airports and seaports in Kiribati.,moh & medical services,2020-03-26,KI
2596,Palau,Pacific,Movement restrictions,international flights suspension,Commercial air travel to Palau is temporary suspended as of Mar. 26 until further notice as airlines temporarily halt services. Air mail and cargo service continues on a weekly basis through chartered services,palau health,2020-03-26,PW
2597,Nauru,Pacific,Public health measures,strengthening the public health system,Taiwan donated to Nauru a covid-19 testing machine to Nauru to enable samples to be tested on the island,nauru govt,2020-03-26,NR
2598,Nauru,Pacific,Movement restrictions,visa restrictions,Nauru halting Pacific Island seasonal worker visas as Australian and New Zealand borders close,nauru govt,2020-03-26,NR
2599,Nauru,Pacific,Public health measures,strengthening the public health system,Nauru received Covid-19 response supplies inc PPE from WHO,nauru govt,2020-03-26,NR
2600,Nauru,Pacific,Public health measures,strengthening the public health system,5 residences identified as quarantine sites if required,nauru govt,2020-03-26,NR
2601,Kazakhstan,Asia,Public health measures,strengthening the public health system,city disinfection,us embassy,2020-03-26,KZ
2602,United States of America,Americas,Social distancing,limit public gatherings," United States has decided to host the upcoming G7 ministerial virtually by video teleconference instead of gathering in Pittsburgh, March 24-25",Dept of State,2020-03-26,US
2603,United States of America,Americas,Movement restrictions,visa restrictions,"(Suspension of Entry as Immigrants and Nonimmigrants of Persons Who Pose a Risk of Transmitting 2019 Novel Coronavirus and Other Appropriate Measures To Address This Risk. The restriction applies to foreign nationals who have been in the Schengen Area, 26 countries in Europe with open borders agreements, in the last 14 days.
Those who are exempt from these restrictions, such as American citizens, will be directed to a limited number of airports where screening can take place.
There is extensive travel back and forth between Europe that heightens the risk here in the United States",white house,2020-03-26,US
2604,United States of America,Americas,Governance and socio-economic measures,economic measures,"The President is announcing an economic assistance package to help support businesses and workers who have been harmed by this outbreak.
President Trump has instructed the Small Business Administration (SBA) to exercise available authority to provide loans to businesses affected by the coronavirus.
These loans will help overcome disruptions caused by the coronavirus.
The President is calling on Congress to increase funding for this program by an additional $50 billion.
The President will be instructing the Department of the Treasury to defer tax payments for certain individuals and businesses negatively impacted by the coronavirus.
This action will provide more than $200 billion of additional liquidity to the economy.
President Trump is calling on Congress to immediately pass payroll tax relief.
The President announced that he will soon be taking emergency action to provide financial relief for workers who are ill, quarantined, or caring for others due to the coronavirus.
The President also called on Congress to take action to extend this relief for workers.",white house,2020-03-26,US
2605,United States of America,Americas,Social distancing,Schools closure,The Bureau of Educational and Cultural Affairs (ECA) will temporarily pause all ECA-funded programs that involve travel to and from countries with heightened U.S. Centers for Disease Control and Prevention (CDC) Alert Level 2 (Practice Enhanced Precautions) and Warning Level 3 (Avoid Nonessential Travel) or heightened State Department COVID-19 related Travel Advisory Levels 3 (Reconsider Travel) and 4 (Do Not Travel).,Dept of State,2020-03-26,US
2606,United States of America,Americas,Governance and socio-economic measures,state of emergency declared,national emergency declared ,white house,2020-03-26,US
2607,United States of America,Americas,Public health measures,strengthening the public health system,"pursuant to section 319 of the Public Health Service Act (42 U.S.C. 247d).  Our response must include heightened coordination among Federal, State, local, and tribal agencies, and we must offer States the flexibility they need to care for their citizens.  In accordance with this principle, the Food and Drug Administration, in coordination with the State of New York, allowed the State flexibility in expediting State-approved COVID-19 testing.

Should additional States request flexibility to authorize laboratories within the State to develop and perform tests used to detect COVID-19, the Secretary shall take appropriate action, consistent with law, to facilitate the request.",white house,2020-03-26,US
2608,United States of America,Americas,Public health measures,strengthening the public health system,Trump Has Mobilized the Full Resources of the Federal Government to Respond to the Coronavirus,white house,2020-03-26,US
2609,United States of America,Americas,Governance and socio-economic measures,emergency administrative structures activated or established,"pandemic is of sufficient severity and magnitude to warrant an emergency determination under section 501(b) of the Robert T. Stafford Disaster Relief and Emergency Assistance Act, 42 U.S.C. 5121-5207 (the ?Stafford Act?).",white house,2020-03-26,US
2610,United States of America,Americas,Movement restrictions,visa restrictions,extensions on suspension of entry and scope/limitations of entry (expanded to include UK and Ireland) with many exceptions ,white house,2020-03-26,US
2611,United States of America,Americas,Governance and socio-economic measures,emergency administrative structures activated or established,"National Day of Prayer for All Americans Affected by the Coronavirus Pandemic and for our National Response Efforts.  I urge Americans of all faiths and religious traditions and backgrounds to offer prayers for all those affected, including people who have suffered harm or lost loved ones.",white house,2020-03-26,US
2612,United States of America,Americas,Public health measures,strengthening the public health system,"Call to action for techn community; National Institutes of Health released the COVID-19 Open Research Dataset (CORD-19) of scholarly literature about COVID-19, SARS-CoV-2, and the Coronavirus group.",white house,2020-03-26,US
2613,United States of America,Americas,Public health measures,awareness campaigns, 15 Days to Slow the Spread new guidelines to help protect Americans during the global Coronavirus outbreak.,white house,2020-03-26,US
2614,United States of America,Americas,Public health measures,awareness campaigns,warning consumers against becoming victims of health fraud and taking action to stop health scam,white house ,2020-03-26,US
2615,United States of America,Americas,Public health measures,strengthening the public health system,FDA empowers states to expedite tests ,white house ,2020-03-26,US
2616,United States of America,Americas,Public health measures,strengthening the public health system,Executive Order on Prioritizing and Allocating Health and Medical Resources to Respond to the Spread of Covid-19,white house ,2020-03-26,US
2617,United States of America,Americas,Governance and socio-economic measures,economic measures,Department of Housing and Urban Development is providing immediate relief to renters and homeowners by suspending all foreclosures and evictions until the end of April.  Health & Human Services will also suspend foreclosures and evictions,white house ,2020-03-26,US
2618,United States of America,Americas,Public health measures,awareness campaigns,"Partnership with Ad Council, Major Media Networks, and Digital Platforms for COVID-19 Messages",white house,2020-03-26,US
2619,United States of America,Americas,Public health measures,strengthening the public health system,"The Defense Department will massively expand medical resources, making 5 million respirator masks and 2,000 ventilators available for use
FEMA is now activated in every region of the country and at the highest level
Navy hospital ships are being deployed to impacted areas",white house,2020-03-26,US
2620,United States of America,Americas,Movement restrictions,Border closure,"The United States has reached mutual agreements with Canada and Mexico to restrict non-essential travel across our northern and southern borders.
The United States will expeditiously return aliens who cross between ports of entry or are otherwise not allowed to enter the country, as the facilities in which these aliens would normally be held cannot support quarantine for the time needed to assess potential cases.
These aliens are processed in stations designed for short-term processing, where distancing is not a viable option, creating a serious danger of an outbreak.",white house,2020-03-26,US
2621,United States of America,Americas,Governance and socio-economic measures,economic measures,"Tax Day will be moved from April 15 to July 15. No interest or penalties will be charged for filing during this extended window, but any American expecting refunds or credits may claim now to get their money sooner.
To minimize impact on our nation?s students, the Department of Education is temporarily waiving all interest on federally held student loans. Secretary Betsy DeVos has also directed federal lenders to allow borrowers to suspend their student loan payments without penalty for at least the next 60 days.",white house,2020-03-26,US
2622,United States of America,Americas,Governance and socio-economic measures,state of emergency declared,Trump Approves New York Disaster Declaration,white house,2020-03-26,US
2623,United States of America,Americas,Governance and socio-economic measures,state of emergency declared,Trump Approves Washington Disaster Declaration,white house,2020-03-26,US
2624,United States of America,Americas,Governance and socio-economic measures,military deployment,Memorandum on Providing Federal Support for Governors? Use of the National Guard to Respond to COVID-19,white house,2020-03-26,US
2625,United States of America,Americas,Public health measures,strengthening the public health system,The White House announced the launch of the COVID-19 High Performance Computing Consortium to provide COVID-19 researchers worldwide with access to the world?s most powerful high performance computing resources that can significantly advance the pace of scientific discovery in the fight to stop the virus.,white house,2020-03-26,US
2626,United States of America,Americas,Public health measures,strengthening the public health system,"Executive Order on Preventing Hoarding of Health and Medical Resources to Respond to the Spread of COVID-19 "" The Secretary shall adopt and revise appropriate rules and regulations as may be necessary to implement this order.

""",white house,2020-03-26,US
2627,United States of America,Americas,Governance and socio-economic measures,state of emergency declared, Trump Approves Iowa Disaster Declaration,white house,2020-03-26,US
2628,United States of America,Americas,Governance and socio-economic measures,state of emergency declared,Trump Approves Louisiana Disaster Declaration,white house,2020-03-26,US
2629,United States of America,Americas,Governance and socio-economic measures,state of emergency declared, Trump Approves Texas Disaster Declaration,white house,2020-03-26,US
2630,United States of America,Americas,Governance and socio-economic measures,state of emergency declared,Trump Approves Florida Disaster Declaration,white house,2020-03-26,US
2631,United States of America,Americas,Public health measures,strengthening the public health system,$16 billion in funding for the purchase of personal protective equipment ? you know about that ? such as masks and respirators through the Strategic National Stockpile.,white house,2020-03-27,US
2632,Tanzania,Africa,Public health measures,introduction of isolation and quarantine policies,"All travellers whether foreigners or returning residents arriving from COVID-19 most affected countries, will be subjected to mandatory isolation for 14 days at their own cost at designated facilities identified by the Government. After 14 days quarantine, passengers who have not developed symptoms of COVID-19 may leave the facilities and will be required to register personal information for future possible tracking purpose.",africa news,2020-03-27,TZ
2633,Tanzania,Africa,Movement restrictions,additional health/documents requirements upon arrival,"Passengers should fill in Health Surveillance Form in the plane, or any other transport means and submit them to Port Health Authorities upon arrival.",africa news,2020-03-27,TZ
2634,Tanzania,Africa,Public health measures,health screenings in airports and border crossings,All travellers will be subjected to an intensive screening and where necessary COVID-19 rapid testing.,africa news,2020-03-27,TZ
2635,Tanzania,Africa,Public health measures,general recommendations,All people residing in Tanzania are advised to avoid non-essential travels to COVID-19 affected countries.,africa news,2020-03-27,TZ
2636,Botswana,Africa,Movement restrictions,Border closure,"All border crossing paths are closed with immediate effect. Citizens allowed to return home, but must quarantine for 14 days.",voa news,2020-03-27,BW
2637,Botswana,Africa,Public health measures,introduction of isolation and quarantine policies,All people (only botswana residents & citizens perimitted) entering the country will be subjected to madatory 14 days quarantine at a government facility. ,ministry of health,2020-03-27,BW
2638,Botswana,Africa,Movement restrictions,visa restrictions,All travellers coming from high risk countries as defined by the WHO will not be granted entry into Botswana,ministry of health,2020-03-27,BW
2639,Botswana,Africa,Movement restrictions,visa restrictions,Issuance of visas at ports of entry and all embassies for individuals from high risk countries is suspended.,ministry of health,2020-03-27,BW
2640,Botswana,Africa,Movement restrictions,visa restrictions,Current visas of persons from high risk countries are cancelled until further notice.,ministry of health,2020-03-27,BW
